State,Percentage of TikTok users reading more books
Maine,80
Nebraska,70
South Dakota,67
Idaho,67
Kentucky,63
Utah,63
Rhode Island,58
New Hampshire,57
California,55
Missouri,54
South Carolina,53
Oregon,52
Texas,52
Illinois,52
Pennsylvania,51
Florida,51
Iowa,50
Nevada,50
Indiana,50
Vermont,50
Kansas,50
Hawaii,50
Tennessee,49
Ohio,49
Arizona,45
West Virginia,44
Connecticut,44
North Carolina,43
Georgia,42
Virginia,42
Maryland,42
Colorado,41
New York,38
Alabama,37
Louisiana,37
Minnesota,36
Arkansas,36
Wisconsin,36
New Jersey,35
Massachussets,34
Oklahoma,33
Washington,33
Michigan,31
